Tasa de mortalidad en niñas y niños menores de 5 años (por cada mil nacidos vivos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nayarit,39.24334,34.34226,32.53525,31.80256,31.08131,30.56005,29.90534,29.63575,27.54797,25.44484,23.17985,20.81184,18.57014,17.72778,17.00099,16.43552,15.92414,15.53424,15.12467,14.72523,14.21642,14.84369,12.79723,12.8654,12.65985,11.69864,12.82493,11.53879,10.6142,11.35173
Nuevo León,29.36906,25.94865,24.54698,22.97918,21.58785,20.34161,19.48949,18.44678,18.34483,18.23653,18.13938,18.09664,18.05951,17.27981,16.69542,16.25978,15.76423,15.19668,14.63156,14.10774,13.61239,13.6345,11.46313,11.8206,11.81042,11.54927,11.73083,12.02231,12.52755,12.21231
Oaxaca,62.34892,56.92352,54.90716,51.05721,47.74968,44.90323,41.56161,38.26985,37.16296,36.10697,34.90807,33.59065,32.33983,30.90166,29.77682,28.9059,28.25856,27.82236,27.36963,26.95064,26.63407,26.41131,25.80296,24.39244,24.57275,24.0547,24.04114,24.13436,22.48828,24.34867
Puebla,47.54876,40.6749,38.24213,37.77227,37.23563,36.76364,36.65928,36.48757,34.62629,32.71315,30.77327,28.82607,27.0362,26.13027,25.46381,24.99499,24.50405,23.95872,23.46143,23.0107,22.70682,21.56227,19.7295,18.57218,17.42688,17.19265,17.37661,17.90398,16.38142,16.84485
Querétaro,43.87014,42.60547,42.16529,38.61201,35.60967,33.05325,29.8564,26.61696,25.67044,24.75149,23.84185,22.87995,21.92394,20.92364,20.06735,19.45803,18.87103,18.38466,18.04466,17.69027,17.39201,13.80591,14.30658,14.03553,12.37337,12.99153,12.57339,11.83611,12.07047,12.10304
Quintana Roo,40.8046,33.63897,31.29158,30.61749,29.93238,29.39612,28.65073,27.83101,26.1548,24.50811,22.73109,20.85296,19.13224,18.17755,17.49828,16.96756,16.49788,16.02204,15.65397,15.31275,14.92746,13.21291,13.67989,13.39159,11.70749,13.74832,13.5836,12.59639,13.71828,13.09114
San Luis Potosí,49.6088,46.28234,44.76212,41.40083,38.53674,36.03534,33.67664,31.02059,29.09861,27.19984,25.23016,23.21919,21.32344,20.35371,19.60175,19.12487,18.54607,17.97567,17.57093,17.18813,16.88793,13.44254,16.57657,15.87302,12.30271,12.31185,12.60151,12.22731,11.9451,12.69413
Sinaloa,41.09806,33.64861,31.048,29.93005,28.87259,27.94901,27.48394,26.91714,26.02237,25.12778,24.13101,23.06036,22.06273,20.95235,20.12986,19.50773,18.90317,18.39667,18.04201,17.62796,17.27825,18.14919,15.89846,16.51191,15.42198,13.06645,14.93453,15.62374,13.20523,15.30406
Sonora,33.82824,29.4021,27.78723,26.73066,25.74838,24.77114,24.39666,23.75036,23.16136,22.57297,21.97674,21.42718,20.82437,19.92952,19.23454,18.68902,18.17682,17.63268,17.08222,16.51919,16.04391,14.86353,16.15671,13.25111,12.22569,12.83593,13.31358,10.89755,12.24315,11.95512
Tabasco,46.26998,36.66817,33.34392,32.38646,31.4959,30.71362,30.17733,29.59677,28.2786,26.94642,25.61666,24.28745,23.00923,22.08393,21.48246,21.0201,20.62492,20.31409,19.97178,19.68304,19.4531,16.84795,16.71824,15.92525,16.66904,16.64154,16.49185,16.88841,17.57891,16.7029
Tamaulipas,38.1068,32.33575,30.32187,29.37097,28.40276,27.57437,27.07787,26.42119,25.5947,24.71016,23.75673,22.74774,21.74941,20.73132,19.95378,19.32112,18.75418,18.2174,17.78742,17.40206,16.96508,14.23672,14.55649,14.30908,13.30897,13.278,12.79291,12.46634,12.39689,12.13089
Tlaxcala,41.86927,36.21076,34.01022,33.04334,32.1815,31.3805,30.81946,30.3852,29.19562,27.89116,26.75786,25.47923,24.2608,23.45212,22.87711,22.35724,21.89606,21.49458,21.06242,20.67478,20.39062,16.41646,17.23754,16.13713,14.54028,15.58546,15.3948,14.42723,14.68354,13.99258
Veracruz de Ignacio de la Llave,50.75887,40.56476,37.15234,36.11769,35.16616,34.34788,33.68123,32.89328,30.69833,28.51938,26.37583,24.22167,22.12278,21.07379,20.24731,19.60758,18.98722,18.37256,17.89096,17.46283,17.08211,15.74593,15.6576,15.97052,13.98143,14.18158,13.23311,13.02177,11.89489,11.93814
Yucatán,42.90553,35.27295,32.74072,32.24718,31.82506,31.44092,30.83634,30.29843,29.0717,27.79996,26.57067,25.22251,23.97064,23.10601,22.44285,21.93535,21.47605,21.01877,20.49892,20.06313,19.79071,20.5699,15.16091,18.01063,17.4753,14.79571,16.28664,14.26579,13.0155,17.20782
Zacatecas,44.66965,37.78614,35.36336,34.48984,33.68438,32.88682,32.01624,31.25943,29.98388,28.63901,27.26548,25.96284,24.62511,23.72108,23.05628,22.50938,22.02379,21.59698,21.04443,20.68283,20.28586,20.57452,22.17735,19.52066,18.35058,19.40167,18.49556,18.3555,18.48833,19.45824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SNIEG. Catálogo Nacional de Indicadores (consulta realizada el 19 de abril de 2022).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
